Rank,Title,Genre,Score
142,Fruits Basket: Prelude,"Drama, Romance",8.46
143,Golden Kamuy 3rd Season,"Action, Adventure",8.45
144,Yuu☆Yuu☆Hakusho,"Action, Comedy, Supernatural",8.45
145,Zoku Owarimonogatari,"Comedy, Mystery, Supernatural",8.45
146,Mo Dao Zu Shi,"Action, Adventure, Drama, Fantasy, Mystery",8.45
147,Owarimonogatari,"Comedy, Mystery, Supernatural",8.45
148,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Drama, Fantasy, Suspense",8.45
149,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Drama, Sci-Fi",8.45
150,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",8.44
151,Saenai Heroine no Sodatekata Fine,"Comedy, Romance",8.44
152,The First Slam Dunk,Sports,8.44
153,Tian Guan Ci Fu Special,"Drama, Supernatural",8.44
154,Haikyuu!!,Sports,8.44
155,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Supernatural",8.44
156,Karakai Jouzu no Takagi-san 3,Comedy,8.44
157,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Sci-Fi",8.43
158,Grand Blue,Comedy,8.43
159,Kono Oto Tomare! Part 2,"Drama, Romance",8.43
160,Mo Dao Zu Shi: Xian Yun Pian,"Action, Adventure, Drama, Fantasy, Mystery",8.43
161,Mononoke,"Fantasy, Horror, Mystery, Supernatural",8.43
162,Saiki Kusuo no Ψ-nan 2,"Comedy, Supernatural",8.43
163,Koukaku Kidoutai: Stand Alone Complex,"Action, Award Winning, Sci-Fi",8.42
164,Saiki Kusuo no Ψ-nan,"Comedy, Supernatural",8.42
165,Josee to Tora to Sakana-tachi,"Drama, Romance",8.42
166,Vivy: Fluorite Eye's Song,"Action, Sci-Fi, Suspense",8.42
167,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"Drama, Fantasy",8.41
168,Wu Liuqi: Xuanwu Guo Pian,"Action, Adventure, Comedy, Drama, Mystery",8.41
169,Major S5,Sports,8.41
170,Natsume Yuujinchou Movie: Utsusemi ni Musubu,"Drama, Slice of Life, Supernatural",8.41
